month,series,price_usd,mom_pct,mom_prev_pct,accel_pp,mom_3m_avg_pct,ann_3m,state,momentum,retail_floor_usd_per_gb,retail_to_contract
2026-04,ddr5_16gb,35.0,,,,,,warming_up,warming_up,,
2026-05,ddr5_16gb,37.5,7.14,,,7.14,0.8279,rising,warming_up,,
2026-06,ddr5_16gb,40.0,6.67,7.14,-0.48,6.9,0.8012,rising,steady,,
2026-07,ddr5_16gb,45.0,12.5,6.67,5.83,8.77,1.0053,rising,accelerating,15.613,0.694
2026-08,ddr5_16gb,46.5,3.33,12.5,-9.17,7.5,0.8604,rising,decelerating,15.139,0.651
2026-04,nand_128gb,24.2,,,,,,warming_up,warming_up,,
2026-05,nand_128gb,26.5,9.5,,,9.5,1.0895,rising,warming_up,,
2026-06,nand_128gb,28.8,8.68,9.5,-0.82,9.09,1.0441,rising,steady,,
2026-07,nand_128gb,30.1,4.51,8.68,-4.17,7.57,0.8727,rising,decelerating,,
2026-08,nand_128gb,30.5,1.33,4.51,-3.18,4.84,0.5623,rising,decelerating,,
