quarter,metric,value,members,meta
2017Q4,revenue_usd_bn,6.8,MU,1/4 members
2017Q4,member_revenue_usd_bn,6.8,MU,
2018Q1,revenue_usd_bn,7.35,MU,1/4 members
2018Q1,member_revenue_usd_bn,7.35,MU,
2018Q2,revenue_usd_bn,7.8,MU,1/4 members
2018Q2,member_revenue_usd_bn,7.8,MU,
2018Q3,revenue_usd_bn,8.44,MU,1/4 members
2018Q3,member_revenue_usd_bn,8.44,MU,
2018Q4,revenue_usd_bn,7.91,MU,1/4 members
2018Q4,member_revenue_usd_bn,7.91,MU,
2019Q1,revenue_usd_bn,5.83,MU,1/4 members
2019Q1,member_revenue_usd_bn,5.83,MU,
2019Q2,revenue_usd_bn,4.79,MU,1/4 members
2019Q2,member_revenue_usd_bn,4.79,MU,
2019Q3,revenue_usd_bn,4.87,MU,1/4 members
2019Q3,member_revenue_usd_bn,4.87,MU,
2019Q4,revenue_usd_bn,5.14,MU,1/4 members
2019Q4,member_revenue_usd_bn,5.14,MU,
2020Q1,revenue_usd_bn,4.8,MU,1/4 members
2020Q1,member_revenue_usd_bn,4.8,MU,
2020Q2,revenue_usd_bn,5.44,MU,1/4 members
2020Q2,member_revenue_usd_bn,5.44,MU,
2020Q3,revenue_usd_bn,6.06,MU,1/4 members
2020Q3,member_revenue_usd_bn,6.06,MU,
2020Q4,revenue_usd_bn,5.77,MU,1/4 members
2020Q4,member_revenue_usd_bn,5.77,MU,
2021Q1,revenue_usd_bn,6.24,MU,1/4 members
2021Q1,member_revenue_usd_bn,6.24,MU,
2021Q2,revenue_usd_bn,7.42,MU,1/4 members
2021Q2,member_revenue_usd_bn,7.42,MU,
2021Q4,revenue_usd_bn,7.69,MU,1/4 members
2021Q4,member_revenue_usd_bn,7.69,MU,
2022Q1,revenue_usd_bn,7.79,MU,1/4 members
2022Q1,member_revenue_usd_bn,7.79,MU,
2022Q2,revenue_usd_bn,8.64,MU,1/4 members
2022Q2,member_revenue_usd_bn,8.64,MU,
2022Q3,revenue_usd_bn,6.64,MU,1/4 members
2022Q3,member_revenue_usd_bn,6.64,MU,
2022Q4,revenue_usd_bn,4.08,MU,1/4 members
2022Q4,member_revenue_usd_bn,4.08,MU,
2023Q1,revenue_usd_bn,3.69,MU,1/4 members
2023Q1,member_revenue_usd_bn,3.69,MU,
2023Q2,revenue_usd_bn,3.75,MU,1/4 members
2023Q2,member_revenue_usd_bn,3.75,MU,
2023Q4,revenue_usd_bn,6.39,MU|SNDK,2/4 members
2023Q4,member_revenue_usd_bn,4.73,MU,
2023Q4,member_revenue_usd_bn,1.67,SNDK,
2023Q4,capex_usd_bn,1.9,MU|SNDK,supply response; 2/3 members
2023Q4,capex_pct_revenue,29.65,MU|SNDK,supply response; 2/3 members
2024Q1,revenue_usd_bn,30.06,MU|SNDK|SKHYNIX|SAMSUNG_MEM,4/4 members
2024Q1,member_revenue_usd_bn,5.82,MU,
2024Q1,member_revenue_usd_bn,1.71,SNDK,
2024Q1,member_revenue_usd_bn,9.36,SKHYNIX,
2024Q1,member_revenue_usd_bn,13.17,SAMSUNG_MEM,
2024Q1,capex_usd_bn,3.75,MU|SNDK|SKHYNIX,supply response; 3/3 members
2024Q1,capex_pct_revenue,22.2,MU|SNDK|SKHYNIX,supply response; 3/3 members
2024Q1,gross_margin_pct,30.89,MU|SKHYNIX,ex-Samsung by necessity; 2/3 members
2024Q1,inventory_days,162.6,MU|SKHYNIX,ex-Samsung by necessity; 2/3 members
2024Q2,revenue_usd_bn,34.68,MU|SKHYNIX|SAMSUNG_MEM,3/4 members
2024Q2,member_revenue_usd_bn,6.81,MU,
2024Q2,member_revenue_usd_bn,11.99,SKHYNIX,
2024Q2,member_revenue_usd_bn,15.87,SAMSUNG_MEM,
2024Q2,capex_usd_bn,3.59,MU|SKHYNIX,supply response; 2/3 members
2024Q2,capex_pct_revenue,19.11,MU|SKHYNIX,supply response; 2/3 members
