date,segment,series,usd_per_gb,n_obs,in_stock_rate
2026-07-05,ddr4_desktop,basket,8.1548,4,0.667
2026-07-05,ddr4_desktop,floor,4.1062,4,
2026-07-05,ddr5_desktop,basket,16.4216,3,0.3
2026-07-05,ddr5_desktop,floor,15.625,3,
2026-07-05,server_ecc,basket,25.8634,4,0.667
2026-07-05,server_ecc,floor,24.9844,4,
2026-07-05,sodimm,basket,12.3438,4,0.8
2026-07-05,sodimm,floor,9.9688,4,
2026-07-06,ddr4_desktop,basket,9.2809,5,0.833
2026-07-06,ddr4_desktop,floor,4.1062,5,
2026-07-06,ddr5_desktop,basket,16.4216,3,0.3
2026-07-06,ddr5_desktop,floor,15.625,3,
2026-07-06,server_ecc,basket,26.213,4,0.667
2026-07-06,server_ecc,floor,25.8634,4,
2026-07-06,sodimm,basket,12.3438,4,0.8
2026-07-06,sodimm,floor,9.9688,4,
2026-07-07,ddr4_desktop,basket,9.2184,5,0.833
2026-07-07,ddr4_desktop,floor,4.1062,5,
2026-07-07,ddr5_desktop,basket,16.4216,3,0.3
2026-07-07,ddr5_desktop,floor,15.625,3,
2026-07-07,server_ecc,basket,26.9941,4,0.667
2026-07-07,server_ecc,floor,25.8634,4,
2026-07-07,sodimm,basket,12.3438,4,0.8
2026-07-07,sodimm,floor,9.3747,4,
2026-07-08,ddr4_desktop,basket,9.2184,5,0.833
2026-07-08,ddr4_desktop,floor,4.1062,5,
2026-07-08,ddr5_desktop,basket,16.4216,3,0.3
2026-07-08,ddr5_desktop,floor,15.625,3,
2026-07-08,server_ecc,basket,26.9941,4,0.667
2026-07-08,server_ecc,floor,25.8634,4,
2026-07-08,sodimm,basket,12.3438,4,0.8
2026-07-08,sodimm,floor,9.3747,4,
2026-07-09,ddr4_desktop,basket,9.2809,5,0.833
2026-07-09,ddr4_desktop,floor,4.1062,5,
2026-07-09,ddr5_desktop,basket,16.4216,3,0.3
2026-07-09,ddr5_desktop,floor,15.625,3,
2026-07-09,server_ecc,basket,26.9941,4,0.667
2026-07-09,server_ecc,floor,25.8634,4,
2026-07-09,sodimm,basket,12.3438,4,0.8
2026-07-09,sodimm,floor,9.6562,4,
2026-07-10,ddr4_desktop,basket,9.2809,5,0.833
2026-07-10,ddr4_desktop,floor,4.1062,5,
2026-07-10,ddr5_desktop,basket,15.6988,3,0.3
2026-07-10,ddr5_desktop,floor,15.625,3,
2026-07-10,server_ecc,basket,26.9941,4,0.667
2026-07-10,server_ecc,floor,25.8634,4,
2026-07-10,sodimm,basket,10.7811,4,0.8
2026-07-10,sodimm,floor,8.4062,4,
2026-07-11,ddr4_desktop,basket,9.2809,5,0.833
2026-07-11,ddr4_desktop,floor,4.1062,5,
2026-07-11,ddr5_desktop,basket,15.6988,3,0.3
2026-07-11,ddr5_desktop,floor,15.625,3,
2026-07-11,server_ecc,basket,26.9941,4,0.667
2026-07-11,server_ecc,floor,25.8634,4,
2026-07-11,sodimm,basket,10.7811,4,0.8
2026-07-11,sodimm,floor,10.125,4,
2026-07-12,ddr4_desktop,basket,9.2809,5,0.833
2026-07-12,ddr4_desktop,floor,4.1062,5,
2026-07-12,ddr5_desktop,basket,15.6988,3,0.3
2026-07-12,ddr5_desktop,floor,15.625,3,
2026-07-12,server_ecc,basket,25.8634,3,0.5
2026-07-12,server_ecc,floor,25.8634,3,
2026-07-12,sodimm,basket,10.7811,4,0.8
2026-07-12,sodimm,floor,9.9688,4,
2026-07-13,ddr4_desktop,basket,9.2809,5,0.833
2026-07-13,ddr4_desktop,floor,4.1062,5,
2026-07-13,ddr5_desktop,basket,15.6988,3,0.3
2026-07-13,ddr5_desktop,floor,15.625,3,
2026-07-13,server_ecc,basket,25.8634,3,0.5
2026-07-13,server_ecc,floor,25.8634,3,
2026-07-13,sodimm,basket,10.7811,4,0.8
2026-07-13,sodimm,floor,9.9688,4,
2026-07-14,ddr4_desktop,basket,7.4997,5,0.833
2026-07-14,ddr4_desktop,floor,4.1062,5,
2026-07-14,ddr5_desktop,basket,15.6988,3,0.3
2026-07-14,ddr5_desktop,floor,15.625,3,
2026-07-14,server_ecc,basket,25.8634,3,0.5
2026-07-14,server_ecc,floor,25.8634,3,
2026-07-14,sodimm,basket,10.7811,4,0.8
2026-07-14,sodimm,floor,9.9688,4,
2026-07-15,ddr4_desktop,basket,7.4997,5,0.833
2026-07-15,ddr4_desktop,floor,4.1062,5,
2026-07-15,ddr5_desktop,basket,15.6988,3,0.3
2026-07-15,ddr5_desktop,floor,15.625,3,
2026-07-15,server_ecc,basket,25.8634,3,0.5
2026-07-15,server_ecc,floor,25.8634,3,
2026-07-15,sodimm,basket,11.6873,4,0.8
2026-07-15,sodimm,floor,9.9688,4,
2026-07-16,ddr4_desktop,basket,7.4997,5,0.833
2026-07-16,ddr4_desktop,floor,4.1062,5,
2026-07-16,ddr5_desktop,basket,15.6988,3,0.3
2026-07-16,ddr5_desktop,floor,15.625,3,
2026-07-16,server_ecc,basket,25.8634,3,0.5
2026-07-16,server_ecc,floor,25.8634,3,
2026-07-16,sodimm,basket,11.6873,4,0.8
2026-07-16,sodimm,floor,9.9688,4,
2026-07-17,ddr4_desktop,basket,7.4997,5,0.833
2026-07-17,ddr4_desktop,floor,4.1062,5,
2026-07-17,ddr5_desktop,basket,15.6988,3,0.3
2026-07-17,ddr5_desktop,floor,15.625,3,
2026-07-17,server_ecc,basket,25.8634,3,0.5
2026-07-17,server_ecc,floor,25.8634,3,
2026-07-17,sodimm,basket,11.6873,4,0.8
2026-07-17,sodimm,floor,9.9688,4,
2026-07-18,ddr4_desktop,basket,7.4997,5,0.833
2026-07-18,ddr4_desktop,floor,4.1062,5,
2026-07-18,ddr5_desktop,basket,15.6997,3,0.3
2026-07-18,ddr5_desktop,floor,15.625,3,
2026-07-18,server_ecc,basket,27.2809,3,0.5
2026-07-18,server_ecc,floor,25.8634,3,
2026-07-18,sodimm,basket,11.6873,4,0.8
2026-07-18,sodimm,floor,9.9688,4,
2026-07-19,ddr4_desktop,basket,7.7394,4,0.667
2026-07-19,ddr4_desktop,floor,4.1062,4,
2026-07-19,ddr5_desktop,basket,15.6997,3,0.3
2026-07-19,ddr5_desktop,floor,15.625,3,
2026-07-19,server_ecc,basket,27.7029,4,0.667
2026-07-19,server_ecc,floor,25.8634,4,
2026-07-19,sodimm,basket,11.6873,4,0.8
2026-07-19,sodimm,floor,9.9688,4,
2026-07-20,ddr4_desktop,basket,7.5839,4,0.667
2026-07-20,ddr4_desktop,floor,4.1062,4,
2026-07-20,ddr5_desktop,basket,15.6997,3,0.3
2026-07-20,ddr5_desktop,floor,15.625,3,
2026-07-20,server_ecc,basket,27.1873,4,0.667
2026-07-20,server_ecc,floor,25.8634,4,
2026-07-20,sodimm,basket,13.2802,4,0.8
2026-07-20,sodimm,floor,9.9688,4,
2026-07-21,ddr4_desktop,basket,7.7394,4,0.667
2026-07-21,ddr4_desktop,floor,4.1062,4,
2026-07-21,ddr5_desktop,basket,15.6623,2,0.2
2026-07-21,ddr5_desktop,floor,15.625,2,
2026-07-21,server_ecc,basket,26.0566,4,0.667
2026-07-21,server_ecc,floor,25.8634,4,
2026-07-21,sodimm,basket,13.2802,4,0.8
2026-07-21,sodimm,floor,10.9375,4,
2026-07-22,ddr4_desktop,basket,7.6325,4,0.667
2026-07-22,ddr4_desktop,floor,4.1062,4,
2026-07-22,ddr5_desktop,basket,15.6623,2,0.2
2026-07-22,ddr5_desktop,floor,15.625,2,
2026-07-22,server_ecc,basket,27.6738,3,0.5
2026-07-22,server_ecc,floor,27.6738,3,
2026-07-22,sodimm,basket,13.2802,4,0.8
