pair,lag_months,n,spearman,pearson,status,note
tw_orders->kr_semis,,0,,,missing_series,
kr_semis->mu_revenue,0,0,,,insufficient_n,
kr_semis->mu_revenue,1,0,,,insufficient_n,
kr_semis->mu_revenue,2,0,,,insufficient_n,
kr_semis->mu_revenue,3,0,,,insufficient_n,
kr_semis->mu_revenue,4,0,,,insufficient_n,
kr_semis->mu_revenue,5,0,,,insufficient_n,
kr_semis->mu_revenue,6,0,,,insufficient_n,
kr_semis->equity_mu,0,1,,,insufficient_n,
kr_semis->equity_mu,1,1,,,insufficient_n,
kr_semis->equity_mu,2,0,,,insufficient_n,
kr_semis->equity_mu,3,0,,,insufficient_n,
kr_semis->equity_mu,4,0,,,insufficient_n,
kr_semis->equity_mu,5,0,,,insufficient_n,
kr_semis->equity_mu,6,0,,,insufficient_n,
phys_ddr5->mu_gross_margin,0,0,,,insufficient_n,
phys_ddr5->mu_gross_margin,1,0,,,insufficient_n,
phys_ddr5->mu_gross_margin,2,0,,,insufficient_n,
phys_ddr5->mu_gross_margin,3,0,,,insufficient_n,
phys_ddr5->mu_gross_margin,4,0,,,insufficient_n,
phys_ddr5->mu_gross_margin,5,0,,,insufficient_n,
phys_ddr5->mu_gross_margin,6,0,,,insufficient_n,
phys_ddr5->equity_dram,0,1,,,insufficient_n,
phys_ddr5->equity_dram,1,0,,,insufficient_n,
phys_ddr5->equity_dram,2,0,,,insufficient_n,
phys_ddr5->equity_dram,3,0,,,insufficient_n,
phys_ddr5->equity_dram,4,0,,,insufficient_n,
phys_ddr5->equity_dram,5,0,,,insufficient_n,
phys_ddr5->equity_dram,6,0,,,insufficient_n,
nanya_rev->phys_ddr4,0,0,,,insufficient_n,
nanya_rev->phys_ddr4,1,0,,,insufficient_n,
nanya_rev->phys_ddr4,2,0,,,insufficient_n,
nanya_rev->phys_ddr4,3,0,,,insufficient_n,
nanya_rev->phys_ddr4,4,0,,,insufficient_n,
nanya_rev->phys_ddr4,5,0,,,insufficient_n,
nanya_rev->phys_ddr4,6,0,,,insufficient_n,
mu_inventory_days->phys_ddr5,0,0,,,insufficient_n,
mu_inventory_days->phys_ddr5,1,0,,,insufficient_n,
mu_inventory_days->phys_ddr5,2,0,,,insufficient_n,
mu_inventory_days->phys_ddr5,3,0,,,insufficient_n,
mu_inventory_days->phys_ddr5,4,0,,,insufficient_n,
mu_inventory_days->phys_ddr5,5,0,,,insufficient_n,
mu_inventory_days->phys_ddr5,6,0,,,insufficient_n,
